Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
Yeah! (feat. Lil Jon & Ludacris),USHER,2004-03-23,84,"['dance pop', 'neo soul', 'pop rap', 'r&b', 'urban contemporary']"
Price tag,Made famous by Jessie J Ft. B.o.B,2011-04-18,17,"['permanent wave', 'pop']"
Viva La Vida,Coldplay,2008-05-26,89,"['classic rock', 'glam rock', 'rock']"
Blurred Lines,Robin Thicke,2013-01-01,77,"['reggaeton', 'trap latino', 'urbano latino']"
Yonaguni,Bad Bunny,2021-06-04,82,"['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
Right Now (Na Na Na),Akon,2008-01-01,79,['latin pop']
Sofia,Alvaro Soler,2016-07-15,71,['dance pop']
"Don't Stop Me Now - Live, European Tour / 1979",Queen,1979-06-22,37,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop', 'synthpop']"
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,2014-11-11,55,"['k-pop', 'k-pop girl group', 'pop']"
Sweet Dreams (Are Made of This) - Remastered,Eurythmics,1983-01-04,85,"['desi pop', 'filmi', 'modern bollywood']"
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,2013-01-01,77,"['broadway', 'hollywood', 'movie tunes', 'show tunes']"
WHISTLE,BLACKPINK,2016-08-08,76,"['filmi', 'modern bollywood']"
"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,2019-10-03,72,['chill pop']
Finesse - Remix; feat. Cardi B,Bruno Mars,2017-12-20,77,['pop']
Payphone,Maroon 5,2012-01-01,86,"['dance pop', 'pop']"
Ginza,J Balvin,2016-06-24,74,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
Another Love,Tom Odell,2013-06-24,92,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Buttabomma - Telugu,Armaan Malik,2019-12-24,65,"['pop', 'post-teen pop']"
Blame (feat. John Newman),Calvin Harris,2014-10-31,80,"['k-pop', 'k-pop girl group', 'pop']"
The Heart Wants What It Wants,Selena Gomez,2014-01-01,74,['emo rap']
PLAYING WITH FIRE - Japanese Version,BLACKPINK,2018-12-05,50,[]
Culpables,Manuel Turizo,2018-07-26,65,"['colombian pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
GOOBA,6ix9ine,2020-09-04,69,"['estonian hip hop', 'russian hip hop', 'russian trap', 'uzbek pop']"
La Ocasión,Joy Rivera,2020-09-18,33,"['dance pop', 'latin pop', 'mexican pop']"
Yo Tambien (In The Style Of Romeo Santos & Marc Anthony) [Tribute Version],Brava HitMakers,2014-11-18,9,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
I Got Love,MiyaGi & Endspiel,2016-09-09,68,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
Cuando Me Enamoro,Enrique Iglesias,2010,77,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']"
Tattoo - Remix with Camilo,Rauw Alejandro,2020-07-09,68,"['banda', 'musica mexicana', 'norteno']"
I Need Your Love (feat. Ellie Goulding),Calvin Harris,2012-10-29,75,"['anime', 'j-pop']"
Mi Último Deseo,Banda Los Recoditos,2013-01-01,76,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
Vida de Rico,Camilo,2021-03-04,73,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Toxicity,System Of A Down,2001-09-04,84,['electro house']
Trap Queen,Fetty Wap,2015-09-25,77,[]
Lemon,Kenshi Yonezu,2018-03-14,59,"['reggaeton', 'trap latino', 'urbano latino']"
Tuesday (feat. Danelle Sandoval),Burak Yeter,2016-09-02,72,[]
Prada - Slowed + Reverb,Aesthetic Future,2023-09-10,13,[]
Pepas,Farruko,2021-06-24,82,"['desi pop', 'punjabi pop']"
IDGAF,Dua Lipa,2017-06-02,82,"['dance pop', 'pop']"
La Isla Bonita,Madonna,1986-06-30,73,[]
Crazy Frog in the House - Radio Edit,Crazy Frog,2007-01-05,49,"['dance pop', 'pop', 'uk pop']"
Last Christmas,Wham!,1984-11-29,92,"['alternative metal', 'nu metal', 'post-grunge', 'rock']"
Here Without You,3 Doors Down,2002-11-12,79,"['new romantic', 'new wave', 'new wave pop', 'soft rock']"
Me Acostumbre (feat. Bad Bunny),Arcángel,2017-04-11,73,"['k-rap', 'korean old school hip hop']"
Te Amo,Piso 21,2018-03-15,75,['australian hip hop']
DADDY,PSY,2015-12-01,62,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Without Me,Halsey,2020-01-17,84,"['electropop', 'etherpop', 'indie poptimism', 'pop']"
STAY (with Justin Bieber),The Kid LAROI,2021-07-09,85,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,2015-01-09,79,"['hip pop', 'pop']"
No Te Contaron Mal,Christian Nodal,2018-09-07,70,"['mariachi', 'musica mexicana', 'ranchera']"
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,2018-02-16,69,"['latin pop', 'latin viral pop', 'mexican pop', 'reggaeton']"
"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,2021-07-30,78,"['electro latino', 'latin hip hop', 'latin pop', 'urbano latino']"
Andas En Mi Cabeza,Chino & Nacho,2016-02-19,75,"['desi pop', 'filmi', 'modern bollywood']"
Levitating,Dua Lipa,2020-03-27,81,"['reggaeton', 'trap latino', 'urbano latino']"
Me Porto Bonito,Bad Bunny,2022-05-06,89,"['pop', 'pop dance', 'tropical house', 'uk dance']"
Lush Life,Zara Larsson,2017-03-17,81,['pop']
One Call Away,Charlie Puth,2016-01-29,75,['fake']
U Can't Touch This,MC Hammer,1990-02-20,75,"['dance pop', 'pop', 'uk pop']"
2002,Anne-Marie,2018-04-27,83,"['hip hop', 'miami bass']"
Pump It (As Made Famous By Black Eyed Peas Instrumental Cover),The Beat Mechanics,2012-04-28,12,"['pop', 'scandipop', 'swedish electropop', 'swedish pop']"
Mama - Acoustic,Jonas Blue,2017-06-30,56,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
La Tortura (feat. Alejandro Sanz),Shakira,2005-06-03,78,"['pop', 'viral pop']"
Mirror,Lil Wayne,2011-08-29,78,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Style (Taylor's Version),Taylor Swift,2023-10-26,88,['pop']
3 Daqat,Abu,2017-10-11,66,"['arab pop', 'egyptian alternative', 'egyptian pop']"
It Will Rain,Bruno Mars,2011-09-28,84,"['afghan pop', 'chutney', 'classic bollywood', 'filmi']"
Bole Chudiyan,Jatin-Lalit,2001-11-28,66,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
Perfect Strangers,Jonas Blue,2018-11-09,79,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']"
Zemër,Soolking,2019-04-18,64,"['pop', 'pop dance', 'tropical house', 'uk dance']"
Love Me Harder,Ariana Grande,2014-08-25,81,"['french hip hop', 'pop urbaine', 'r&b francais', 'rap algerien']"
Paani Paani,Badshah,2021-06-09,55,"['detroit hip hop', 'hip hop', 'rap']"
Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,2023-02-14,20,['pop']
Tití Me Preguntó,Bad Bunny,2022-05-06,86,"['reggaeton', 'trap latino', 'urbano latino']"
Venom - Music From The Motion Picture,Eminem,2018-09-21,74,"['dance pop', 'pop']"
Low Life (feat. The Weeknd),Future,2016-04-13,85,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']"
Amanece,Anuel AA,2018-12-14,84,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
Abhi Toh Party Shuru Hui Hai,Badshah,2014-08-12,59,"['desi hip hop', 'desi trap', 'filmi', 'modern bollywood']"
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,2016-06-24,77,"['glam metal', 'hard rock', 'rock']"
Dancing With A Stranger (with Normani),Sam Smith,2019-01-11,75,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
Hola - Remix,Dalex,2022-02-09,74,"['r&b en espanol', 'reggaeton', 'trap latino', 'urbano latino']"
Paradise City,Guns N' Roses,1987-07-21,82,"['dance pop', 'girl group', 'pop']"
The Greatest,Sia,2016-10-21,77,['pop']
Buttons,The Pussycat Dolls,2005-01-01,72,"['reggaeton', 'trap latino', 'urbano latino']"
Sugar (feat. Francesco Yates),Robin Schulz,2015-09-25,80,"['australian dance', 'australian pop', 'pop']"
Krippy Kush,Farruko,2017-09-15,66,"['pop', 'uk pop']"
I Have Nothing - Film Version,Whitney Houston,2017-11-17,52,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']"
Moves Like Jagger,Maroon 5,2015-09-25,72,"['pop', 'post-teen pop']"
Come & Get It,Selena Gomez,2013-01-01,73,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
In the Name of Love,Martin Garrix,2016-07-29,82,['pop']
Dancing Queen,ABBA,1976,86,"['europop', 'swedish pop']"
Bandido,Myke Towers,2020-12-10,75,"['reggaeton', 'trap latino', 'urbano latino']"
Mi Cama,KAROL G,2018-05-11,60,"['irish singer-songwriter', 'modern rock', 'pov: indie']"
This Is How We Do,Katy Perry,2013-10-18,59,"['canadian pop', 'canadian singer-songwriter', 'classic canadian rock', 'heartland rock', 'mellow gold', 'soft rock']"
Take Me To Church,Hozier,2014-07-20,86,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Please Forgive Me,Bryan Adams,2005-01-01,70,['pop']
"thank u, next",Ariana Grande,2019-02-08,82,['pop']
Laila Main Laila,Pawni Pandey,2017-01-24,15,['punjabi pop']
3 Peg,Sharry Mann,2016-12-16,64,[]
Tera Fitoor,Arijit Singh,2018-08-24,74,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Best Song Ever,One Direction,2013-11-25,78,"['filmi', 'modern bollywood']"
Feel Good Inc.,Gorillaz,2005-05-23,86,"['cantautora mexicana', 'mexican pop']"
Prayer in C - Robin Schulz Remix,Lilly Wood and The Prick,2014-05-16,47,"['alternative hip hop', 'modern rock', 'rock']"
Set Fire to the Rain,Adele,2011-01-24,86,"['british soul', 'pop', 'pop soul', 'uk pop']"
Panda,Desiigner,2016-02-26,69,"['french indie pop', 'french rock']"
Disfruto,Carla Morrison,2012-03-27,76,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']"
Ninguém Explica Deus (feat. Gabriela Rocha) - Ao Vivo,Preto no Branco,2020-06-05,11,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']"
Amor a Primera Vista,Los Ángeles Azules,2019-06-14,74,"['adoracao', 'brazilian gospel', 'groove gospel', 'pagode baiano', 'pop nacional', 'rap cristao', 'reggae cristao', 'rock gospel brasileiro']"
Blinding Lights - Live,The Weeknd,2023-03-03,52,"['latin pop', 'spanish pop']"
Colgando en tus manos (con Marta Sánchez),Carlos Baute,2016-11-18,47,"['cancion melodica', 'latin pop', 'mariachi', 'musica mexicana', 'ranchera']"
Así Fue - En Vivo [Desde el Instituto Nacional de Bellas Artes],Juan Gabriel,1998-01-11,68,"['boy band', 'pop', 'post-teen pop', 'talent show']"
"Papa Mere Papa (From ""Main Aisa Hi Hoon"")",Sonu Nigam,2022-06-16,4,"['canadian contemporary r&b', 'canadian pop', 'pop']"
One Thing,One Direction,2012-05-25,75,"['filmi', 'modern bollywood']"
changes,XXXTENTACION,2018-03-16,80,"['dance pop', 'pop rap']"
Tutu,Camilo,2019-08-09,66,"['colombian pop', 'latin pop', 'latin viral pop', 'reggaeton colombiano']"
Tu Postura,Banda MS de Sergio Lizárraga,2017-04-21,69,"['banda', 'musica mexicana', 'norteno']"
Gerhi Route Mashup,Parmish Verma,2023-06-07,33,['punjabi pop']
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,2011-10-11,78,"['emo rap', 'miami hip hop', 'rap']"
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2011-06-14,56,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
Patience,Guns N' Roses,1987-07-21,75,"['glam metal', 'hard rock', 'rock']"
Dil Meri Na Sune,Atif Aslam,2018-08-24,67,"['classic pakistani pop', 'filmi', 'modern bollywood', 'sufi']"
Chittiyaan Kalaiyaan,Meet Bros Anjjan,2015-01-09,70,"['filmi', 'modern bollywood']"
Jhoome Jo Pathaan,Vishal-Shekhar,2022-12-22,78,"['filmi', 'modern bollywood']"
Pink Venom,BLACKPINK,2022-08-19,67,"['k-pop', 'k-pop girl group', 'pop']"
Ella Quiere Beber - Remix,Anuel AA,2018-11-02,79,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
Blinding Lights,The Weeknd,2020-03-20,92,"['arabic hip hop', 'moroccan pop', 'rif', 'tunisian pop']"
Ya Lili,Balti,2017-11-07,59,"['k-pop', 'k-pop boy group', 'pop']"
Dil Diyan Gallan,Vishal-Shekhar,2017-12-12,73,"['acoustic pop', 'dance pop', 'neo mellow', 'pop']"
Dope,BTS,2015-04-29,68,"['filmi', 'modern bollywood']"
Yummy,Justin Bieber,2020-01-03,68,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
I’m Yours,Jason Mraz,2023-12-07,0,"['canadian pop', 'pop']"
Vuelve,Daddy Yankee,2017-09-29,75,"['latin christian', 'rock cristiano']"
No Es Justo,J Balvin,2018-05-11,59,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
All I Want for Christmas Is You,Mariah Carey,1994-10-28,97,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Tú Estás Aquí,Jesús Adrián Romero,2011,57,"['dance pop', 'pop', 'urban contemporary']"
Boulevard of Broken Dreams,Green Day,2017-11-17,82,"['modern rock', 'permanent wave', 'punk', 'rock']"
My Humps (In the Style of Black Eyed Peas) [Karaoke Version],Off The Record Karaoke,2013-09-24,0,['karaoke']
Bella y Sensual,Romeo Santos,2017-07-21,74,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']"
El Taxi,Pitbull,2015-07-17,67,"['glam metal', 'hard rock', 'rock']"
Poesia Acústica #6: Era uma Vez,Pineapple StormTv,2018-12-24,74,"['pop', 'uk pop']"
Don't Cry (Original),Guns N' Roses,1991-09-17,80,"['rap baiano', 'trap baiano']"
GIRL LIKE ME,Black Eyed Peas,2020-11-02,72,"['mariachi', 'musica mexicana', 'ranchera']"
Someone You Loved,Lewis Capaldi,2019-05-17,90,"['edm', 'house', 'pop dance', 'progressive house', 'uk dance']"
Ocean Drive,Duke Dumont,2015-07-31,72,"['dance pop', 'pop', 'pop rap']"
De Los Besos Que Te Di,Christian Nodal,2019-05-10,77,"['dance pop', 'miami hip hop', 'pop']"
Paas Bulati Hai,Alka Yagnik,1999-11-10,33,"['canadian contemporary r&b', 'canadian pop', 'pop']"
Earned It (Fifty Shades Of Grey),The Weeknd,2021-02-05,78,"['filmi', 'hare krishna', 'modern bollywood']"
One Time,Justin Bieber,2009-01-01,74,"['pop', 'post-teen pop']"
Heart Attack,Demi Lovato,2013-01-01,84,"['canadian pop', 'pop']"
"i hate u, i love u (feat. olivia o'brien)",gnash,2016-03-25,80,['pop']
Get Lucky - Sped Up Remix,fast lvrs,2023-03-24,56,"['contemporary r&b', 'dance pop', 'r&b', 'urban contemporary']"
Un Año,Sebastian Yatra,2019-01-18,68,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Cásate Conmigo,Silvestre Dangond,2017-09-15,64,"['k-pop', 'k-pop girl group', 'pop']"
Un-Break My Heart,Toni Braxton,1996-06-18,71,"['modern rock', 'pop']"
Burning Up (Fire),BTS,2016-05-02,70,['neo mellow']
No One,Alicia Keys,2007-11-09,75,['funk carioca']
What is Love,TWICE,2018-07-09,76,"['filmi', 'modern bollywood']"
We Are Never Ever Getting Back Together (Taylor's Version),Taylor Swift,2021-11-12,81,"['pop', 'r&b']"
High Hopes,Panic! At The Disco,2018-06-22,82,"['hip pop', 'pop']"
You’re Beautiful,James Blunt,2023-11-24,0,"['dance pop', 'pop']"
Amor de Verdade - Ao Vivo,MC Rita,2021-04-09,13,"['reggaeton', 'urbano latino']"
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,2019-10-07,55,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']"
Crazy In Love (feat. Jay-Z),Beyoncé,2003-06-24,80,"['dance pop', 'miami hip hop', 'pop']"
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,2015-04-14,73,"['filmi', 'modern bollywood']"
Me Too,Meghan Trainor,2017-05-12,74,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Feel This Moment (feat. Christina Aguilera),Pitbull,2012,80,"['contemporary country', 'outlaw country']"
Pompeii MMXXIII,Bastille,2023-09-01,65,"['brostep', 'edm', 'electro house', 'moombahton', 'pop dance', 'progressive electro house', 'slap house']"
Stayin Alive,Bee Gees,2020-12-11,75,"['pop', 'uk dance', 'uk funky']"
"O Saki Saki (From ""Batla House"")",Neha Kakkar,2019-07-15,67,"['metropopolis', 'modern rock']"
"Whenever, Wherever",Shakira,2001-11-13,79,"['neo soul', 'pop', 'r&b']"
Nota de Amor (feat. Daddy Yankee),Wisin,2015-09-04,69,['pop']
Amantes,Greeicy,2017-11-03,70,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']"
Just A Dream,Nelly,2010-11-12,77,"['electro latino', 'reggaeton', 'trap latino', 'urbano latino']"
Sweater Weather,The Neighbourhood,2013-04-19,93,['pop']
Tennessee Whiskey,Chris Stapleton,2015-05-04,84,"['comedy rap', 'indie pop rap', 'pop rap']"
Get Low,Dillon Francis,2014-10-22,62,"['metropopolis', 'modern rock', 'pop']"
Rather Be (feat. Jess Glynne),Clean Bandit,2014-01-17,75,"['disco', 'mellow gold', 'soft rock']"
Night Changes,One Direction,2014-11-17,89,"['colombian pop', 'latin pop', 'r&b en espanol', 'reggaeton', 'reggaeton colombiano', 'urbano latino']"
Chained To The Rhythm,Katy Perry,2017-06-09,72,"['latin arena pop', 'latin pop', 'spanish pop']"
Safe And Sound,Capital Cities,2013,85,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
She Will Be Loved,Maroon 5,2002-06-25,74,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Otherside,Red Hot Chili Peppers,1999-06-08,85,"['french hip hop', 'pop urbaine', 'rap algerien', 'rap marseille']"
Algo Me Gusta De Ti,Wisin & Yandel,2020-08-07,27,"['afrobeats', 'nigerian pop']"
Don't Wanna Know - Total Ape Remix,Maroon 5,2017-01-06,33,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Freaky Friday (feat. Chris Brown),Lil Dicky,2018-03-16,69,"['boy band', 'pop', 'post-teen pop', 'talent show']"
Dónde está el amor (feat. Jesse & Joy),Pablo Alborán,2012,77,"['pop nacional', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']"
Scared to Be Lonely,Martin Garrix,2017-01-27,80,"['rap espanol', 'spanish hip hop', 'urbano espanol']"
Try Everything,Shakira,2016-02-12,71,"['europop', 'swedish pop', 'synthpop']"
Les menottes (Tching Tchang Tchong),L'Algérino,2017-05-04,41,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie']"
Calm Down (with Selena Gomez),Rema,2022-08-25,90,['pop']
Loka,Simone & Simaria,2019-11-15,29,"['k-pop', 'k-pop boy group', 'pop']"
Live While We're Young,One Direction,2012-11-12,75,"['dance pop', 'pop']"
Loca,Lopes,2019-01-18,38,['pop']
"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,1990-05-20,79,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Save Me,BTS,2016-05-02,70,"['a cappella', 'viral pop']"
Leave The Door Open,Bruno Mars,2021-11-12,72,"['k-pop', 'k-pop girl group', 'pop']"
El Efecto,Rauw Alejandro,2019-03-15,79,"['pop', 'viral pop']"
Love You Like A Love Song,Selena Gomez & The Scene,2011-01-01,83,"['latin pop', 'rap latina', 'reggaeton', 'urbano latino']"
Hallelujah,Pentatonix,2016-10-21,79,['pop']
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,2016-01-29,73,"['art pop', 'dance pop', 'pop']"
Lovesick Girls,BLACKPINK,2020-10-02,73,"['pop', 'r&b']"
Ram Pam Pam,NATTI NATASHA,2021-04-20,64,"['new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
Shallow,Lady Gaga,2018-10-05,86,"['dance pop', 'pop']"
Drunk in Love (feat. Jay-Z),Beyoncé,2014-11-24,75,"['alternative hip hop', 'modern rock', 'rock']"
So High,Doja Cat,2014-03-11,77,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
Karma Chameleon,Culture Club,1983-10-01,62,"['desi pop', 'filmi', 'gujarati pop', 'modern bollywood']"
Clint Eastwood,Gorillaz,2001-03-26,78,"['pop', 'uk pop']"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,2017-06-30,77,"['funk metal', 'glam metal', 'hard rock']"
More Than Words,Extreme,1990-01-01,78,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Chogada,Darshan Raval,2018-10-03,52,['electro house']
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2017-11-09,84,"['albanian pop', 'popullore jugu', 'tallava']"
Todo De Ti,Rauw Alejandro,2021-05-20,78,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']"
Downtown,Anitta,2017-11-19,75,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
California Gurls,Katy Perry,2012-03-12,76,['pop']
A Ella,KAROL G,2017-10-27,79,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
Darkside,Alan Walker,2018-12-14,75,"['mariachi', 'musica mexicana', 'ranchera']"
Te ka lali shpirt,Silva Gunbardhi,2013-01-19,56,['pop']
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign,2014-06-10,81,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']"
Him & I (with Halsey),G-Eazy,2017-12-15,81,[]
Dime Cómo Quieres,Christian Nodal,2020-11-13,72,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
Love Story,Taylor Swift,2008-11-11,80,['mexican hip hop']
El Efecto,Rauw Alejandro,2019-03-15,79,['pop']
Rosas,La Oreja de Van Gogh,2003,81,"['latin arena pop', 'latin pop', 'mexican pop', 'spanish pop', 'spanish pop rock']"
I Gotta Feeling (Made Famous by Black Eyed Peas),The Rock Heroes,2010-03-01,2,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
Debo Entender,Santa Fe Klan,2019-12-12,76,[]
Dangerous Woman,Ariana Grande,2016-04-01,83,"['dance pop', 'pop']"
I Mean It (feat. Remo),G-Eazy,2014-06-20,71,"['hard bass', 'russian rave']"
Treasure,Bruno Mars,2012-12-07,83,['electro house']
Big Dick,Little Big,2015-12-19,61,"['canadian pop', 'pop']"
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021-03-26,47,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Sing Me to Sleep,Alan Walker,2016-06-03,61,"['desi pop', 'filmi', 'modern bollywood']"
Labios Rotos - En Vivo Desde México / 2010,Zoé,2011-01-01,78,"['colombian pop', 'vallenato', 'vallenato moderno']"
LA CANCIÓN,J Balvin,2019-06-28,86,"['dance pop', 'k-pop', 'k-pop girl group']"
Créeme,KAROL G,2018-11-02,73,[]
"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,2019-11-11,61,"['europop', 'synthpop']"
Justicia,Silvestre Dangond,2018-06-29,61,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']"
Pa Mí - Remix,Dalex,2019-05-10,75,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
Sobre Nós,Zinho Beats,2018-11-30,21,"['disco', 'funk', 'jazz funk', 'soul']"
멘붕 - CL SOLO,2NE1,2014-02-27,52,"['banda', 'musica mexicana', 'norteno']"
Blah Blah Blah,Armin van Buuren,2018-05-18,68,['filmi']
"You're My Heart, You're My Soul '98 - Remastered",Modern Talking,2014-10-03,31,"['pop', 'viral pop']"
Luka Chuppi,A.R. Rahman,2023-06-01,18,['sped up']
The Next Episode,Dr. Dre,1999-11-16,82,['colombian pop']
September,"Earth, Wind & Fire",1978-11-23,76,"['dangdut', 'dangdut koplo', 'dangdut remix']"
Solo Con Verte,Banda MS de Sergio Lizárraga,2016-02-05,72,['pop']
How Long,Charlie Puth,2018-05-11,77,"['banda', 'musica mexicana', 'norteno']"
La Rompe Corazones,Daddy Yankee,2017-01-13,72,"['desi hip hop', 'desi pop', 'desi trap', 'modern bollywood', 'pakistani hip hop']"
Outside - TikTok Remix,Ren,2023-10-25,57,"['r&b en espanol', 'reggaeton', 'trap latino', 'urbano latino']"
Bajo El Agua,Manuel Medrano,2015-10-30,78,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
En Peligro de Extinción,La Adictiva,2018-06-18,31,"['colombian pop', 'vallenato', 'vallenato moderno']"
What Lovers Do (feat. SZA),Maroon 5,2018-06-15,75,['lgbtq+ hip hop']
Lagi Syantik,Siti Badriah,2018-03-16,53,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']"
Amplifier,Imran Khan,2009-07-27,72,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Old Town Road,Lil Nas X,2019-06-21,77,"['k-pop', 'k-pop boy group', 'pop']"
Bad Romance,The Chipmunks & The Chipettes,2011-11-11,47,['cartoon']
Labirinto,Yasmin Verissimo,2023-10-20,36,"['panamanian pop', 'reggaeton', 'trap latino', 'urbano latino']"
Otro Trago,Sech,2019-04-19,73,['musica infantil']
Aquieta Minh'alma,Ministério Zoe,2013,71,"['barbadian pop', 'pop', 'urban contemporary']"
Where Have You Been,Rihanna,2011-11-18,77,"['adoracao', 'brazilian gospel', 'rock gospel brasileiro']"
Company,Justin Bieber,2015-11-13,79,"['canadian pop', 'pop']"
Stan,Eminem,2000-05-23,85,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
Naach Meri Rani,Guru Randhawa,2020-10-20,66,"['filmi', 'modern bollywood']"
La Bebe - Remix,Yng Lvcas,2023-03-17,90,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Unconditionally,Katy Perry,2013-01-01,81,"['detroit hip hop', 'hip hop', 'rap']"
MotorSport,Migos,2018-01-26,72,['pop']
Hey Ya!,Outkast,2003,84,['reggaeton']
Take A Bow,Rihanna,2008-06-02,78,"['barbadian pop', 'pop', 'urban contemporary']"
Por Perro,Sebastian Yatra,2018-05-18,70,"['dance pop', 'pop', 'uk pop']"
Don’t Start Now,Dua Lipa,2023-12-07,0,"['barbadian pop', 'pop', 'urban contemporary']"
Don't Stop The Music,Rihanna,2008-06-02,82,"['colombian pop', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Pasoori Coke Studio Season 14 - Acoustic Version,Wahabroy,2023-01-03,5,[]
