Id,Song Name,Artist Name,Channel_name,View,Like,Subscriber,Hashtag,Most view per day,Highest rank,Most-view-date,Charted-duration,Popularity Score (Spotify),Duration,Country,Publish_time,Release Date (Spotify),Genre,spotify_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
09R8_2nJtjg,Sugar,Maroon 5,Maroon5VEVO,3972748912.0,15907063.0,14400000.0,0.0,10684581,1.0,2015-01-16,304.0,72,0:05:02,US,2015-01-14 15:00:11,2015-05-18,"dance pop, edm, electro house, moombahton, pop, pop dance",5d6Mjuu2uCGRPYpFjGpCX5,235493.0,0.748,0.788,1.0,-7.055,1.0,0.0334,0.0591,0.0,0.0863,0.884,120.076,4.0
OPf0YbXqDm0,Uptown Funk (feat. Bruno Mars),Mark Ronson,MarkRonsonVEVO,5098441203.0,21086522.0,3630000.0,8.0,6365428,1.0,2015-03-21,462.0,85,0:04:31,,2014-11-19 14:00:18,2015-01-12,"pop, singer-songwriter pop, uk pop",32OlwWuMpZ6b0aN2RZOeMS,269667.0,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,4.0
k85mRPqvMbE,Axel F,Crazy Frog,Crazy Frog,4189651341.0,17241293.0,14600000.0,3.0,4476499,6.0,2017-12-31,354.0,71,0:02:52,DE,2009-06-17 04:30:53,2005-08-01,pop,0Bo5fjMtTfCD8vHGebivqc,168880.0,0.86,0.907,2.0,-3.321,1.0,0.0407,0.279,0.693,0.0648,0.786,138.045,4.0
0KSOMA3QBU0,Dark Horse,Katy Perry,KatyPerryVEVO,3635657804.0,17284198.0,24600000.0,0.0,8374827,1.0,2014-02-22,331.0,78,0:03:45,US,2014-02-20 20:00:03,2013-10-18,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",5jrdCoLpJSvHHorevXBATy,215672.0,0.645,0.585,6.0,-6.122,1.0,0.0513,0.00314,0.0,0.165,0.353,131.931,4.0
2Vv-BfVoq4g,Perfect,Ed Sheeran,Ed Sheeran,3611696065.0,20501915.0,53900000.0,3.0,11266868,1.0,2017-12-02,316.0,89,0:04:40,,2017-11-09 11:04:14,2017-03-03,"folk-pop, neo mellow",0tgVpDi06FyKpA1z0VMD4v,263400.0,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,3.0
YqeW9_5kURI,Lean On (feat. MØ & DJ Snake),Major Lazer,Major Lazer Official,3507182419.0,16948504.0,14800000.0,4.0,5901639,1.0,2015-12-31,205.0,64,0:02:59,US,2015-03-23 04:00:45,2015-06-01,pop,1qE47wUKG2juJwPoLqg4C9,176561.0,0.723,0.809,7.0,-3.081,0.0,0.0625,0.00346,0.00123,0.565,0.274,98.007,4.0
RBumgq5yVrA,Let Her Go (feat. Ed Sheeran) - Anniversary Edition,Passenger,Passenger,3567172909.0,16301972.0,7210000.0,0.0,5932381,14.0,2019-01-16,504.0,69,0:04:15,GB,2012-07-25 22:28:26,2023-11-10,pop,1nHKI4L5pWrN5CUvW07nHP,256987.0,0.483,0.486,6.0,-6.943,1.0,0.0345,0.586,1.34e-06,0.326,0.345,71.195,4.0
e-ORhEE9VVg,Blank Space (Taylor's Version),Taylor Swift,TaylorSwiftVEVO,3319601339.0,15193985.0,25600000.0,0.0,9175310,1.0,2014-11-11,212.0,87,0:04:33,US,2014-11-10 17:05:44,2023-10-26,cartoon,45wMBGri1PORPjM9PwFfrS,231833.0,0.737,0.725,0.0,-5.417,1.0,0.0641,0.0976,0.0,0.174,0.755,96.012,4.0
wnJ6LuUFpMo,Mi Gente,J Balvin,jbalvinVEVO,3300445486.0,17971978.0,13200000.0,3.0,15620713,2.0,2017-06-30,166.0,70,0:03:06,CO,2017-06-30 04:00:05,2017-06-30,pop,4ipnJyDU3Lq15qBAYNqlqK,189440.0,0.774,0.687,11.0,-4.818,0.0,0.0584,0.0179,1.17e-05,0.128,0.308,104.959,4.0
AETFvQonfV8,श्री हनुमान चालीसा,Sachin Sood,T-Series Bhakti Sagar,3569523498.0,15107715.0,64700000.0,6.0,3726792,4.0,2023-04-06,263.0,1,0:09:42,IN,2011-05-10 01:35:09,2021-06-21,electro house,6tybdkf1AI0MbJWKkHC1xe,304138.0,0.647,0.608,6.0,-7.521,1.0,0.0744,0.753,0.0,0.0727,0.688,116.132,4.0
aJOTlE1K90k,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,Maroon5VEVO,3527306371.0,21431814.0,14400000.0,0.0,11495843,1.0,2018-06-29,210.0,75,0:04:31,US,2018-05-31 04:00:00,2018-06-15,"broadway, hollywood, movie tunes, show tunes",7fa9MBXhVfQ8P8Df9OEbD8,235545.0,0.851,0.541,0.0,-6.825,1.0,0.0505,0.568,0.0,0.13,0.448,124.959,4.0
nfWlot6h_JM,Shake It Off (Taylor's Version),Taylor Swift,TaylorSwiftVEVO,3373111083.0,13071009.0,25600000.0,0.0,9141293,2.0,2014-08-19,176.0,84,0:04:02,US,2014-08-18 21:18:00,2023-10-26,"dance pop, latin pop, mexican pop",3pv7Q5v2dpdefwdWIvE7yH,219209.0,0.632,0.807,7.0,-5.676,1.0,0.0738,0.0103,1.27e-05,0.29,0.921,160.055,4.0
